STU_ID,X4INCOMECAT,X4RFDGMJSTEM,X4OCCFBSTEM1,S4JOBSAT2,X5STEM3ERN,X1TXMQUINT,X1MTHINT,X1SCIINT,X1MTHUTI,X1SCIUTI,X1MTHEFF,X1SCIEFF,X1MTHID,X1SCIID,S1FAVSUBJ,X2TXMQUINT,S2MUSELIFE,S2MUSECLG,X1DADEDU,X1MOMEDU,S2EDUASP,X3TAGPA12,S4BIRTHSEX,X1RACE,X1SES_U
11404,5,0,0,2,3,5,0.49,0.93,-0.3,-1.45,0.1,-0.05,0.0,-0.33,7,5,2,2,0,2,5,3.5,-5,3,-0.5438
11405,-8,-8,-8,-8,-6,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,3,1,1,-8,-8,2,-8.0,-5,-9,-8.0
11406,1,0,0,1,7,3,-1.63,-2.2,-0.93,-1.5,-0.58,-1.02,-1.16,-0.94,13,3,2,2,-8,-8,2,2.0,-5,5,-0.6414
11407,6,0,1,-7,16,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,5,2,1,-8,-8,7,3.5,-5,-9,-8.0
11408,3,0,0,-7,14,5,0.56,-1.77,-1.33,-1.32,0.68,-0.46,0.6,-0.33,1,5,2,2,0,4,5,-8.0,-5,8,0.444
11409,8,0,0,-7,-8,4,-0.18,-1.38,1.31,1.69,1.21,0.57,0.6,0.27,11,2,2,2,1,1,7,3.0,-5,5,-1.4102
11410,1,0,-7,-7,17,2,-1.49,-0.67,-0.7,-9.0,-1.41,-0.48,-1.73,-0.33,4,3,3,2,0,4,5,-1.0,-5,8,-0.2325
11411,5,0,-7,-7,13,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,2,2,2,-8,-8,4,3.0,-5,-9,-8.0
11412,3,1,0,-7,58,5,-0.71,1.32,1.31,0.71,0.39,1.22,-0.57,1.52,3,5,1,1,5,4,7,4.0,-5,8,0.929
11413,7,0,-7,-7,-8,2,0.49,1.26,-0.3,0.1,-0.17,-0.48,-0.57,-0.33,3,2,2,2,4,1,5,3.0,-5,2,0.12
11414,3,0,0,1,17,3,-0.18,-0.67,-0.3,-0.33,-0.17,-1.33,-0.57,-0.97,5,2,2,3,3,2,5,3.5,-5,8,0.434
11415,11,0,0,1,-8,4,-0.18,-1.51,1.31,0.23,0.51,-0.05,0.6,0.91,7,2,2,2,0,5,5,2.5,-5,8,1.0288
11416,7,-7,0,2,-6,3,-0.18,0.11,-0.3,-0.33,-0.17,-0.46,0.6,2.15,7,2,2,2,0,2,5,1.5,-5,5,-0.8941
11418,1,-7,-7,-7,0,4,0.86,-0.28,1.31,1.69,-0.56,-0.77,0.6,0.91,2,3,1,1,-8,-8,6,3.5,-5,2,0.0274
11419,10,0,0,-4,-8,2,0.66,0.54,-9.0,1.69,-0.17,-0.05,-1.16,2.15,2,2,1,1,-8,-8,7,-8.0,-5,5,-0.3653
11420,11,0,0,-7,-8,5,-0.84,0.16,-0.3,-0.89,0.1,0.25,-1.73,-0.33,11,5,3,2,7,4,7,3.5,-5,8,1.1244
11421,6,0,0,-4,18,4,1.32,-0.23,-1.74,-0.28,0.1,0.67,0.6,-0.33,5,1,2,2,0,3,7,4.0,-5,5,-0.4783
11422,4,0,0,3,-8,2,0.19,0.16,-1.33,-0.47,-9.0,-2.06,-1.16,-1.57,4,2,2,2,1,2,3,2.5,-5,6,-0.9083
11423,2,-1,-7,-7,9,3,0.56,-1.45,1.31,0.71,0.55,-1.02,0.6,-0.97,11,3,2,2,-8,-8,6,-8.0,-5,3,0.048
11424,-8,-8,-8,-8,-6,1,0.93,-0.93,1.31,1.69,1.62,1.83,0.6,-1.57,6,1,1,1,-8,-8,5,0.5,-5,8,-0.5435
11425,2,0,-7,2,14,3,1.02,1.31,0.11,1.69,0.95,1.12,1.19,2.15,11,3,1,2,5,4,1,1.5,-5,3,1.2696
11426,5,0,-7,-7,12,5,1.34,1.25,1.31,1.27,1.62,1.12,1.76,0.91,11,5,1,1,4,4,7,3.5,-5,8,0.9067
11427,4,1,-7,-7,-8,5,0.49,-0.35,0.5,0.71,-0.17,0.25,0.63,1.55,2,5,1,1,4,4,7,4.0,-5,8,1.0601
11428,2,1,-7,-7,42,3,-1.81,0.49,-2.53,0.1,0.95,1.53,0.6,0.91,7,4,2,1,2,3,7,4.0,-5,3,-0.375
11429,-8,-8,-8,-8,3,3,-0.18,-7.0,0.27,-7.0,-1.02,-7.0,0.6,-0.33,11,3,1,1,2,2,8,2.0,-5,8,-0.3936
11430,9,0,-7,-7,12,3,-0.18,-0.17,0.27,1.27,-0.56,0.25,0.6,0.31,1,2,1,1,2,4,7,-8.0,-5,3,0.256
11431,-8,-8,-8,-8,-8,3,0.12,0.16,0.11,0.1,0.12,-0.46,0.0,-0.36,2,2,2,2,2,4,5,3.5,-5,8,1.0676
11432,10,-1,-7,3,23,2,-1.01,-1.05,-0.3,-1.5,-0.56,-0.16,-0.57,0.91,2,1,2,2,2,3,7,4.0,-5,5,0.1552
11433,-8,-8,-8,-8,-8,3,1.72,0.93,0.11,-0.89,0.49,1.53,0.6,0.91,6,2,1,3,-8,-8,5,2.0,-5,3,0.7382
11435,6,-7,-7,3,-8,2,-7.0,0.49,-7.0,0.1,-7.0,-0.89,-1.13,0.91,4,2,3,2,-8,-8,5,1.0,-5,8,-0.2719
11436,1,0,0,-7,16,4,-7.0,-0.23,-7.0,0.1,-7.0,-0.59,-0.57,-0.33,5,4,2,2,2,4,6,2.0,-5,8,0.7799
11437,1,-7,-7,-9,-6,1,-0.16,0.16,-0.3,0.1,-0.29,-0.17,-0.57,-0.33,9,1,1,1,0,3,2,-1.0,-5,8,0.5352
11438,1,0,-7,-7,16,4,0.19,0.16,0.9,-0.33,1.62,0.25,0.6,-0.33,7,4,2,1,2,4,5,2.5,-5,1,0.434
11439,-8,-8,-8,-8,-8,1,-0.44,-1.44,-2.7,-2.07,-2.92,-2.49,-1.73,-1.57,13,2,2,2,0,2,7,-1.0,-5,1,-1.5592
11440,-8,-8,-8,-8,-8,2,-0.48,-7.0,-0.7,-7.0,0.1,-7.0,0.0,2.15,7,1,1,1,2,3,5,3.5,-5,6,0.4843
11441,2,0,0,-7,11,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,1,3,2,-8,-8,7,3.5,-5,-9,-8.0
11442,-8,-8,-8,-8,18,3,1.25,-0.23,1.31,0.71,1.21,0.56,0.6,0.91,6,3,-9,-9,-8,-8,7,2.0,-5,8,-0.0584
11443,3,0,0,-7,0,2,0.49,-7.0,1.31,-7.0,0.1,-7.0,0.6,-0.33,7,3,1,1,5,4,5,3.0,-5,8,1.4289
11444,5,1,5,-7,-8,5,-0.66,0.54,-0.7,-0.33,0.1,0.97,0.0,-0.33,7,5,1,1,4,5,6,3.5,-5,8,1.2793
11445,9,-7,0,1,-6,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,4,3,3,-8,-8,7,1.5,-5,-9,-8.0
11446,-8,-8,-8,-8,-6,2,0.87,0.49,-0.3,-0.47,-0.3,-0.05,0.03,0.31,6,2,2,2,1,2,8,3.5,-5,4,-0.759
11448,5,0,0,-7,-8,3,1.22,0.93,-0.3,0.1,0.95,0.25,0.03,0.31,5,-8,-8,-8,4,4,-8,-1.0,-5,8,1.2665
11450,-8,-8,-8,-8,-8,3,-1.49,-1.51,0.34,-0.15,-0.29,-0.17,-0.57,0.27,11,4,2,1,2,2,5,2.5,-5,8,0.0892
11451,8,0,0,-7,15,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,3,1,1,-8,-8,6,3.0,-5,-9,-8.0
11452,3,-7,-7,3,-9,2,1.02,1.7,0.34,1.69,1.62,1.42,1.16,0.27,7,5,2,1,2,2,2,2.0,-5,8,-0.238
11454,5,-7,0,-4,0,5,0.1,-0.67,-0.7,0.1,-0.17,-0.91,-0.57,-0.33,6,5,2,2,2,2,6,3.0,-5,8,0.4586
11455,2,0,-7,-7,18,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,5,2,1,-8,-8,6,-1.0,-5,-9,-8.0
11456,8,0,-9,-7,-8,1,0.86,0.41,1.31,-0.47,0.1,1.53,-0.53,0.91,9,3,1,1,2,1,4,3.0,-5,6,-0.6403
11457,-8,-8,-8,-8,-8,4,-0.66,-0.67,-0.3,0.1,0.1,0.25,-0.57,-0.33,13,3,2,2,-8,-8,5,3.0,-5,8,-0.1545
11459,8,0,0,-7,13,3,-0.64,0.93,-0.3,0.1,-1.41,0.25,0.6,-0.33,11,3,2,2,2,3,7,3.5,-5,8,-0.1084
11460,1,-7,-7,-7,-6,1,-1.03,-1.44,1.31,-0.33,-0.29,-0.59,-0.53,-0.33,5,1,3,3,-8,-8,2,2.0,-5,8,-0.0281
11461,5,0,0,-7,12,5,0.19,0.16,-0.3,-0.33,0.1,0.25,0.03,0.31,13,4,3,2,7,3,6,3.0,-5,8,1.6038
11462,4,0,0,-7,3,4,0.57,-7.0,0.5,-7.0,0.1,-7.0,0.6,-0.33,6,4,1,1,0,1,6,2.5,-5,5,-0.9162
11463,7,0,0,3,14,4,0.19,0.16,-0.13,0.28,0.1,0.25,0.03,-0.33,1,5,3,1,2,2,5,2.5,-5,5,-0.8689
11464,8,1,4,-7,59,4,-0.71,1.7,-0.3,1.69,0.1,1.83,0.03,0.91,5,3,2,2,4,0,7,3.5,-5,3,0.5823
11465,-8,-8,-8,-8,-6,3,-0.59,-0.28,-0.3,0.1,-0.3,-0.05,0.0,-0.94,13,3,3,3,-8,-8,8,-1.0,-5,4,-0.4075
11466,3,0,0,2,14,5,0.86,1.38,0.9,0.1,1.62,1.83,-0.57,0.91,4,5,-9,-9,5,2,6,4.0,-5,8,0.6072
11467,-8,-8,-8,-8,-6,1,0.27,1.31,-3.51,1.27,-1.41,1.83,-0.57,2.15,9,3,2,2,-8,-8,7,4.0,-5,8,0.1098
11468,8,-1,0,2,6,2,-2.46,-1.05,-2.94,-0.89,-2.92,-1.33,-1.73,-1.57,8,1,3,2,3,3,7,2.5,-5,8,0.1494
